batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1,43,0.00024,1.5,4.8366,3.8905,0.001,0.08
2,30,0.00994,2.25,4.7308,3.8834,0.045,0.235
3,25,0.01108,2.25,4.8066,3.8568,0.108,0.055
4,27,0.01098,2.25,4.7856,3.8785,0.053,0.113
5,25,0.001,3.375,4.6434,3.8713,0.096,0.097
6,19,0.00311,5.062,4.6154,3.8785,0.115,0.158
7,33,0.00644,7.594,4.5422,3.88,0.179,0.276
8,29,0.00556,11.391,4.4247,3.8589,0.272,0.419
9,16,0.00588,11.391,4.3635,3.8881,0.359,0.509
10,35,0.02404,11.391,4.3705,3.8717,0.395,0.569
11,23,0.03352,11.391,4.255,3.8621,0.496,0.597
12,30,0.01656,11.391,4.384,3.8593,0.242,0.447
13,16,0.02599,11.391,4.392,3.8465,0.302,0.439
14,33,0.0358,11.391,4.3247,3.8327,0.312,0.489
15,18,0.03261,11.391,4.2608,3.8053,0.313,0.549
16,25,0.04424,7.594,4.2758,3.7878,0.323,0.505
17,38,0.02217,7.594,4.2649,3.8081,0.309,0.509
18,36,0.0413,5.062,4.3028,3.8081,0.321,0.472
19,27,0.02887,5.062,4.2751,3.7807,0.356,0.475
20,49,0.026,5.062,4.2411,3.7561,0.346,0.459
21,23,0.01813,5.062,4.2625,3.7597,0.29,0.453
22,26,0.02108,5.062,4.2691,3.7358,0.3,0.418
23,38,0.02747,5.062,4.3031,3.72,0.229,0.362
24,19,0.02468,5.062,4.2793,3.7129,0.256,0.367
25,21,0.0283,5.062,4.2283,3.7011,0.291,0.409
26,14,0.05575,3.375,4.1595,3.6327,0.307,0.437
27,38,0.02603,3.375,4.2799,3.6635,0.24,0.341
28,37,0.03528,3.375,4.2494,3.6354,0.232,0.354
29,47,0.02908,3.375,4.1663,3.5866,0.253,0.381
30,24,0.03512,3.375,4.1475,3.611,0.279,0.4
31,18,0.0263,3.375,4.1106,3.5317,0.325,0.412
32,22,0.04068,2.25,4.1491,3.6116,0.273,0.414
33,13,0.02177,2.25,4.1266,3.5774,0.3,0.419
34,38,0.03228,2.25,4.1322,3.5634,0.345,0.42
35,28,0.03422,2.25,4.0454,3.5027,0.335,0.421
36,18,0.03333,2.25,4.0425,3.5096,0.356,0.432
37,17,0.02008,2.25,4.0355,3.5381,0.396,0.485
38,24,0.0231,2.25,4.0561,3.4951,0.335,0.406
39,22,0.02215,2.25,4.0232,3.4769,0.308,0.412
40,17,0.02151,2.25,4.09,3.4464,0.227,0.345
41,34,0.0329,2.25,4.0845,3.4882,0.297,0.368
42,22,0.01976,2.25,4.0602,3.4738,0.285,0.374
43,32,0.02294,2.25,3.9884,3.4306,0.337,0.432
44,35,0.02527,2.25,4.074,3.4069,0.208,0.313
45,24,0.02431,2.25,4.0784,3.4309,0.259,0.334
46,25,0.02515,2.25,4.0746,3.4386,0.242,0.345
47,49,0.02699,2.25,4.069,3.4109,0.225,0.289
48,28,0.03528,2.25,3.9976,3.4081,0.278,0.364
49,49,0.0281,2.25,3.9623,3.3278,0.226,0.329
50,49,0.05263,1.5,3.966,3.2853,0.136,0.249
51,22,0.02337,1.5,3.9725,3.3415,0.205,0.266
52,27,0.03183,1.5,3.9308,3.2874,0.17,0.23
53,24,0.03743,1.5,3.9337,3.2732,0.208,0.263
54,21,0.02187,1.5,3.9463,3.2293,0.246,0.293
55,26,0.03026,1.5,3.8899,3.2545,0.233,0.296
56,49,0.02466,1.5,3.8719,3.2151,0.159,0.217
57,39,0.02041,1.5,3.8689,3.1897,0.191,0.251
58,19,0.02734,1.5,3.8692,3.242,0.203,0.27
59,26,0.02251,1.5,3.8853,3.2169,0.185,0.245
60,26,0.02325,1.5,3.9136,3.2346,0.137,0.208
61,30,0.02926,1.5,3.8913,3.2145,0.132,0.224
62,23,0.02474,1.5,3.8518,3.1466,0.233,0.287
63,40,0.02628,1.5,3.8911,3.1678,0.112,0.189
64,24,0.02703,1.5,3.8918,3.1981,0.179,0.231
65,11,0.02281,1.5,3.801,3.1774,0.172,0.239
66,23,0.02414,1.5,3.8078,3.1828,0.175,0.225
67,36,0.02617,1.5,3.8191,3.1026,0.166,0.235
68,19,0.04226,1.0,3.7975,3.0774,0.175,0.229
69,17,0.03122,1.0,3.782,3.1446,0.162,0.203
70,36,0.03922,1.0,3.8488,3.0659,0.104,0.155
71,24,0.03368,1.0,3.821,3.1462,0.105,0.157
72,13,0.02692,1.0,3.8631,3.1156,0.122,0.165
73,34,0.0177,1.0,3.7924,3.1047,0.129,0.176
74,26,0.013,1.0,3.7473,3.1144,0.187,0.235
75,23,0.0219,1.0,3.8197,3.0789,0.116,0.162
76,18,0.02466,1.0,3.7038,3.0876,0.205,0.251
77,31,0.03224,1.0,3.8089,3.0031,0.124,0.189
78,24,0.02897,1.0,3.7547,3.1243,0.186,0.226
79,23,0.01612,1.0,3.7883,3.0779,0.168,0.216
80,21,0.02341,1.0,3.7963,3.1096,0.138,0.185
81,28,0.02415,1.0,3.7724,3.0805,0.196,0.234
82,27,0.02435,1.0,3.8226,3.1369,0.095,0.162
83,30,0.01791,1.0,3.8086,3.1184,0.171,0.213
84,17,0.01666,1.0,3.8058,3.1021,0.147,0.189
85,32,0.02136,1.0,3.7998,3.1227,0.154,0.198
86,34,0.02069,1.0,3.7963,3.0698,0.166,0.207
87,26,0.02385,1.0,3.7696,3.0688,0.151,0.199
88,15,0.01856,1.0,3.7636,3.0765,0.174,0.225
89,27,0.01769,1.0,3.7577,3.0919,0.194,0.231
90,19,0.01667,1.0,3.7835,3.0824,0.162,0.207
91,19,0.01092,1.0,3.8085,3.0961,0.184,0.232
92,32,0.01408,1.0,3.8227,3.1659,0.208,0.255
93,22,0.0114,1.0,3.7763,3.093,0.164,0.234
