eval_batch,wins,losses,draws,win_ratio,total_games
50,8,2,0,0.8,10
100,4,6,0,0.4,10
150,2,8,0,0.2,10
200,5,5,0,0.5,10
250,9,1,0,0.9,10
300,7,3,0,0.7,10
350,7,3,0,0.7,10
400,10,0,0,1.0,10
450,9,1,0,0.9,10
500,10,0,0,1.0,10
550,10,0,0,1.0,10
600,9,1,0,0.9,10
650,10,0,0,1.0,10
700,8,2,0,0.8,10
750,10,0,0,1.0,10
800,9,1,0,0.9,10
850,10,0,0,1.0,10
900,7,3,0,0.7,10
950,9,1,0,0.9,10
1000,9,1,0,0.9,10
1050,10,0,0,1.0,10
1100,9,1,0,0.9,10
1150,9,1,0,0.9,10
1200,10,0,0,1.0,10
1250,9,1,0,0.9,10
1300,10,0,0,1.0,10
1350,9,1,0,0.9,10
1400,10,0,0,1.0,10
1450,9,1,0,0.9,10
1500,8,2,0,0.8,10
