batch,kl,loss,entropy,win_ratio
1,0.009276087,4.454962730407715,3.577448606491089,0.8
2,0.031559758,4.198922157287598,3.5440926551818848,0.4
3,0.0068675503,4.347357273101807,3.5534214973449707,0.2
4,0.012993682,4.3596696853637695,3.5540881156921387,0.5
5,0.011503249,4.249468803405762,3.538567543029785,0.9
6,0.009264684,4.209286212921143,3.5132508277893066,0.7
7,0.013301395,4.114812850952148,3.4617886543273926,0.7
8,0.010840584,3.980044364929199,3.513643980026245,1.0
9,0.015996844,3.9469289779663086,3.5072410106658936,0.9
10,0.022183465,3.9178006649017334,3.4633684158325195,1.0
11,0.032107394,3.8406505584716797,3.4326109886169434,1.0
12,0.03111308,3.7531797885894775,3.4010374546051025,0.9
13,0.0152948415,3.815718412399292,3.446162462234497,1.0
14,0.026819948,3.716787338256836,3.37379789352417,0.8
15,0.018132202,3.6726479530334473,3.390997886657715,1.0
16,0.021316322,3.6408205032348633,3.3442111015319824,0.9
17,0.04605136,3.7836763858795166,3.352036952972412,1.0
18,0.023175612,3.956488609313965,3.3632454872131348,0.7
19,0.017863266,3.8706014156341553,3.2865161895751953,0.9
20,0.026609885,3.8079254627227783,3.2672014236450195,0.9
21,0.050275028,3.7636966705322266,3.22161602973938,1.0
22,0.04240533,3.8294758796691895,3.2476491928100586,0.9
23,0.032495797,3.699876308441162,3.1772055625915527,0.9
24,0.021777913,3.778550863265991,3.2058167457580566,1.0
25,0.024862533,3.820051670074463,3.2626585960388184,0.9
26,0.02744527,3.7806034088134766,3.1318931579589844,1.0
27,0.035462644,3.748687267303467,3.1763498783111572,0.9
28,0.032111794,3.685819625854492,3.0903615951538086,1.0
29,0.027498212,3.641819477081299,3.0975022315979004,0.9
30,0.01759821,3.581598997116089,3.062523603439331,0.8
