batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
5,8,0.00928,1.5,4.455,3.5774,0.0,0.198
6,16,0.03156,1.5,4.1989,3.5441,0.225,0.366
7,11,0.00687,2.25,4.3474,3.5534,0.081,0.238
8,13,0.01299,2.25,4.3597,3.5541,0.132,0.202
9,12,0.0115,2.25,4.2495,3.5386,0.218,0.305
10,9,0.00926,3.375,4.2093,3.5133,0.26,0.336
11,14,0.0133,3.375,4.1148,3.4618,0.325,0.459
12,15,0.01084,3.375,3.98,3.5136,0.408,0.549
13,16,0.016,3.375,3.9469,3.5072,0.474,0.556
14,12,0.02218,3.375,3.9178,3.4634,0.474,0.574
15,8,0.03211,3.375,3.8407,3.4326,0.519,0.573
16,14,0.03111,3.375,3.7532,3.401,0.572,0.651
17,7,0.01529,3.375,3.8157,3.4462,0.547,0.631
18,14,0.02682,3.375,3.7168,3.3738,0.632,0.676
19,7,0.01813,3.375,3.6726,3.391,0.634,0.697
20,16,0.02132,3.375,3.6408,3.3442,0.641,0.685
21,18,0.04605,2.25,3.7837,3.352,0.464,0.544
22,16,0.02318,2.25,3.9565,3.3632,0.288,0.364
23,9,0.01786,2.25,3.8706,3.2865,0.304,0.39
24,11,0.02661,2.25,3.8079,3.2672,0.36,0.442
25,9,0.05028,1.5,3.7637,3.2216,0.43,0.508
26,15,0.04241,1.0,3.8295,3.2476,0.338,0.393
27,12,0.0325,1.0,3.6999,3.1772,0.43,0.478
28,15,0.02178,1.0,3.7786,3.2058,0.356,0.415
29,14,0.02486,1.0,3.8201,3.2627,0.291,0.352
30,7,0.02745,1.0,3.7806,3.1319,0.354,0.406
31,7,0.03546,1.0,3.7487,3.1763,0.351,0.406
32,9,0.03211,1.0,3.6858,3.0904,0.349,0.401
33,7,0.0275,1.0,3.6418,3.0975,0.361,0.41
34,9,0.0176,1.0,3.5816,3.0625,0.4,0.459
35,7,0.04111,0.667,3.5426,2.987,0.364,0.439
36,11,0.03138,0.667,3.5202,2.9681,0.402,0.467
37,13,0.03033,0.667,3.4671,3.0447,0.43,0.489
38,11,0.02548,0.667,3.4747,2.9148,0.383,0.43
39,9,0.01282,0.667,3.4698,2.9574,0.37,0.441
40,10,0.02286,0.667,3.4084,2.9111,0.427,0.485
41,10,0.01764,0.667,3.3896,2.9108,0.406,0.477
42,10,0.01854,0.667,3.3565,2.8418,0.434,0.489
43,10,0.01342,0.667,3.352,2.8442,0.419,0.503
44,12,0.0185,0.667,3.374,2.8622,0.365,0.477
45,7,0.018,0.667,3.2918,2.8333,0.431,0.505
46,7,0.0208,0.667,3.2453,2.8018,0.465,0.544
47,7,0.02004,0.667,3.2277,2.758,0.401,0.498
48,10,0.02928,0.667,3.3216,2.8109,0.412,0.481
49,7,0.0232,0.667,3.1207,2.7162,0.503,0.581
50,11,0.03215,0.667,3.1147,2.7127,0.496,0.591
51,14,0.01767,0.667,3.1758,2.7515,0.483,0.558
52,16,0.02455,0.667,3.1672,2.6981,0.437,0.546
53,10,0.0361,0.667,3.2345,2.741,0.411,0.517
54,15,0.03659,0.667,3.1841,2.7291,0.404,0.506
55,11,0.04253,0.444,3.1741,2.6423,0.366,0.451
56,12,0.01857,0.444,3.1441,2.6899,0.437,0.522
57,9,0.0146,0.444,3.1977,2.6979,0.409,0.496
58,13,0.01291,0.444,3.1614,2.6936,0.367,0.468
59,13,0.01537,0.444,3.0855,2.6301,0.522,0.576
60,7,0.01428,0.444,3.1193,2.6857,0.459,0.527
61,9,0.02012,0.444,3.107,2.6515,0.436,0.51
62,11,0.01282,0.444,3.0916,2.5598,0.482,0.546
63,9,0.02047,0.444,3.0753,2.5156,0.422,0.476
64,7,0.01668,0.444,3.0816,2.6887,0.457,0.513
65,9,0.02576,0.444,2.9923,2.5814,0.465,0.538
66,9,0.01766,0.444,3.0518,2.5165,0.475,0.526
67,10,0.0136,0.444,3.0849,2.6306,0.487,0.557
68,13,0.01679,0.444,3.0062,2.632,0.524,0.577
69,8,0.01221,0.444,3.0289,2.637,0.491,0.565
70,10,0.01861,0.444,2.961,2.5152,0.504,0.579
71,7,0.02052,0.444,2.948,2.5295,0.513,0.568
72,15,0.01964,0.444,2.9994,2.5473,0.474,0.554
73,7,0.01207,0.444,2.9163,2.5308,0.525,0.606
74,10,0.01678,0.444,3.0182,2.5865,0.448,0.52
75,11,0.01057,0.444,2.9845,2.585,0.498,0.553
