batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
5,21,0.00312,1.5,4.5639,3.5795,-0.0,0.03
6,19,0.00548,2.25,4.4164,3.563,0.065,0.194
7,13,0.0039,3.375,4.4501,3.5785,0.189,0.259
8,13,0.00811,5.062,4.2433,3.5519,0.295,0.334
9,7,0.03105,5.062,4.1731,3.5457,0.338,0.414
10,14,0.03708,5.062,4.1342,3.5487,0.312,0.42
11,14,0.05043,3.375,4.0352,3.4964,0.265,0.487
12,10,0.02818,3.375,3.9453,3.5126,0.431,0.57
13,13,0.02497,3.375,3.9895,3.499,0.394,0.535
14,13,0.02819,3.375,3.9025,3.4775,0.42,0.596
15,10,0.03866,3.375,3.9097,3.4584,0.377,0.571
16,13,0.04272,2.25,3.8547,3.418,0.368,0.551
17,18,0.03493,2.25,3.9325,3.4218,0.327,0.489
18,9,0.04044,1.5,3.7068,3.3011,0.453,0.626
19,7,0.01475,1.5,3.807,3.3974,0.439,0.568
20,15,0.01803,1.5,3.7361,3.3557,0.535,0.648
21,16,0.02542,1.5,3.7519,3.3495,0.46,0.607
22,19,0.03109,1.5,3.854,3.291,0.364,0.454
23,15,0.03788,1.5,3.8076,3.3447,0.352,0.501
24,12,0.04534,1.0,3.6556,3.2118,0.465,0.59
25,12,0.02577,1.0,3.7764,3.3145,0.373,0.518
26,18,0.02408,1.0,3.7411,3.2404,0.424,0.519
27,13,0.01891,1.0,3.7323,3.2714,0.403,0.513
28,9,0.02412,1.0,3.659,3.1751,0.433,0.54
29,14,0.02769,1.0,3.6424,3.1877,0.438,0.544
30,13,0.02547,1.0,3.6534,3.1803,0.442,0.533
31,11,0.02783,1.0,3.6147,3.1606,0.455,0.545
32,16,0.02603,1.0,3.6067,3.1587,0.446,0.541
33,8,0.02107,1.0,3.6483,3.1528,0.419,0.51
34,13,0.03593,1.0,3.6465,3.1188,0.36,0.458
35,15,0.02849,1.0,3.6926,3.1642,0.361,0.451
36,11,0.02741,1.0,3.679,3.1145,0.365,0.474
37,14,0.02398,1.0,3.5254,3.1417,0.472,0.567
38,11,0.03228,1.0,3.5504,3.1097,0.433,0.552
39,13,0.02685,1.0,3.5574,3.0984,0.442,0.533
40,10,0.02774,1.0,3.5255,3.0996,0.409,0.535
41,14,0.02366,1.0,3.6248,3.0637,0.354,0.459
42,17,0.02753,1.0,3.5174,2.9908,0.355,0.487
43,17,0.03419,1.0,3.4801,3.0494,0.46,0.562
44,15,0.04583,0.667,3.4111,2.9803,0.456,0.582
45,10,0.01858,0.667,3.4504,3.018,0.524,0.589
46,8,0.02403,0.667,3.4894,3.0381,0.433,0.526
47,13,0.01358,0.667,3.4946,3.0434,0.411,0.498
48,13,0.02114,0.667,3.4528,2.9581,0.414,0.523
49,10,0.01703,0.667,3.4056,2.9745,0.513,0.595
50,13,0.03852,0.667,3.3391,2.994,0.537,0.625
51,9,0.04014,0.444,3.4124,2.9307,0.441,0.54
52,18,0.01237,0.444,3.4948,2.9939,0.364,0.482
53,10,0.02047,0.444,3.3917,2.8972,0.496,0.56
54,12,0.02397,0.444,3.513,2.988,0.318,0.406
55,9,0.01379,0.444,3.5037,2.9357,0.385,0.438
56,21,0.02263,0.444,3.4522,2.9514,0.419,0.491
57,9,0.01779,0.444,3.462,2.8961,0.426,0.472
58,16,0.0108,0.444,3.3251,2.8485,0.421,0.495
59,13,0.01623,0.444,3.4893,2.8855,0.32,0.406
60,16,0.02245,0.444,3.4312,2.9265,0.389,0.453
61,11,0.03362,0.444,3.5004,2.8403,0.307,0.415
62,14,0.01709,0.444,3.4993,2.8962,0.335,0.373
63,16,0.01365,0.444,3.3757,2.9136,0.393,0.484
64,13,0.01307,0.444,3.4953,2.8914,0.328,0.393
65,13,0.01097,0.444,3.4004,2.9029,0.377,0.446
66,14,0.02692,0.444,3.4815,2.7945,0.278,0.348
67,11,0.01861,0.444,3.4967,2.8987,0.309,0.385
68,15,0.01693,0.444,3.442,2.8395,0.307,0.372
69,15,0.02076,0.444,3.4751,2.8637,0.283,0.386
70,10,0.01381,0.444,3.4109,2.825,0.406,0.446
71,10,0.01528,0.444,3.4664,2.851,0.282,0.382
72,16,0.0211,0.444,3.5618,2.9051,0.245,0.314
73,13,0.02243,0.444,3.478,2.8645,0.298,0.384
74,12,0.01531,0.444,3.4047,2.8477,0.381,0.428
75,12,0.01724,0.444,3.5031,2.8874,0.31,0.383
76,9,0.02309,0.444,3.3816,2.7911,0.316,0.395
77,15,0.0142,0.444,3.3533,2.8175,0.365,0.443
78,12,0.01439,0.444,3.4193,2.8763,0.393,0.455
79,13,0.01228,0.444,3.4441,2.8521,0.318,0.412
80,13,0.00942,0.667,3.4285,2.8375,0.325,0.391
81,9,0.02525,0.667,3.3897,2.7608,0.334,0.448
82,8,0.02319,0.667,3.3108,2.8026,0.329,0.463
83,9,0.03142,0.667,3.5211,2.8589,0.217,0.334
