eval_batch,wins,losses,draws,win_ratio,total_games
50,0,20,0,0.0,20
100,3,17,0,0.15,20
150,5,13,2,0.3,20
200,10,10,0,0.5,20
250,8,10,2,0.45,20
300,16,3,1,0.825,20
350,13,3,4,0.75,20
400,12,5,3,0.675,20
450,14,4,2,0.75,20
500,15,3,2,0.8,20
550,11,6,3,0.625,20
600,15,4,1,0.775,20
650,15,2,3,0.825,20
700,18,0,2,0.95,20
750,13,5,2,0.7,20
800,14,4,2,0.75,20
850,18,1,1,0.925,20
900,17,2,1,0.875,20
950,16,1,3,0.875,20
1000,17,2,1,0.875,20
1050,17,0,3,0.925,20
1100,16,2,2,0.85,20
1150,17,0,3,0.925,20
1200,16,2,2,0.85,20
1250,16,1,3,0.875,20
1300,12,3,5,0.725,20
1350,15,1,4,0.85,20
1400,14,1,5,0.825,20
1450,16,0,4,0.9,20
1500,20,0,0,1.0,20
1550,15,0,5,0.875,20
1600,14,2,4,0.8,20
1650,13,2,5,0.775,20
1700,19,0,1,0.975,20
1750,14,3,3,0.775,20
1800,18,1,1,0.925,20
1850,14,1,5,0.825,20
1900,17,1,2,0.9,20
1950,15,0,5,0.875,20
2000,17,1,2,0.9,20
