batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
2,1200,34.5,276,476,0.02545,1.0,4.5916,3.8818,-0.002,0.137
3,1200,26.5,212,688,0.01761,1.0,4.659,3.8501,0.058,0.135
4,1200,27.8,222,910,0.01436,1.0,4.7026,3.8444,0.041,0.142
5,1200,23.5,188,1098,0.01013,1.0,4.6038,3.8581,0.122,0.214
6,1200,29.8,238,1336,0.01115,1.0,4.577,3.8648,0.189,0.277
7,1200,26.0,208,1544,0.01294,1.0,4.5595,3.8596,0.223,0.296
8,1200,27.0,216,1760,0.00757,1.5,4.5465,3.8552,0.228,0.293
9,1200,27.2,218,1978,0.02656,1.5,4.4402,3.8549,0.313,0.398
10,1200,22.8,182,2160,0.02273,1.5,4.5019,3.8354,0.285,0.336
11,1200,32.8,262,2422,0.03347,1.5,4.365,3.8404,0.384,0.436
12,1200,20.0,160,2582,0.03753,1.5,4.5714,3.8331,0.159,0.256
13,1200,27.0,216,2798,0.01433,1.5,4.5361,3.8295,0.218,0.261
14,1200,25.8,206,3004,0.01928,1.5,4.5516,3.8412,0.249,0.289
15,1200,28.0,224,3228,0.00836,2.25,4.4621,3.8425,0.302,0.336
16,1200,31.2,250,3478,0.0111,2.25,4.4738,3.8291,0.281,0.333
17,1200,13.5,108,3586,0.00757,3.375,4.3814,3.8139,0.361,0.393
18,1200,21.2,170,3756,0.01043,3.375,4.4911,3.8015,0.243,0.307
19,1200,38.0,304,4060,0.02022,3.375,4.4834,3.8015,0.227,0.285
20,1200,33.0,264,4324,0.01472,3.375,4.4983,3.8266,0.207,0.285
21,1200,18.5,148,4472,0.01552,3.375,4.5124,3.8248,0.187,0.251
22,1200,22.2,178,4650,0.01136,3.375,4.5135,3.7967,0.218,0.305
23,1200,27.2,218,4868,0.0142,3.375,4.4844,3.7723,0.164,0.224
24,1200,23.8,190,5058,0.02975,3.375,4.4765,3.7916,0.187,0.26
25,1200,26.0,208,5266,0.03882,3.375,4.3415,3.7775,0.267,0.332
26,1200,24.5,196,5462,0.02747,3.375,4.3871,3.7612,0.287,0.314
27,1200,25.8,206,5668,0.01485,3.375,4.435,3.7707,0.209,0.279
28,1200,22.8,182,5850,0.03074,3.375,4.366,3.7454,0.251,0.327
29,1200,25.8,206,6056,0.0156,3.375,4.4917,3.7157,0.13,0.22
30,1200,24.2,194,6250,0.02203,3.375,4.4267,3.7435,0.176,0.259
31,1200,21.2,170,6420,0.01418,3.375,4.404,3.74,0.157,0.232
32,1200,25.2,202,6622,0.01769,3.375,4.3285,3.7098,0.278,0.334
33,1200,22.5,180,6802,0.01717,3.375,4.3529,3.6638,0.215,0.276
