batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1,35,0.00019,1.5,4.8844,3.891,0.001,0.011
2,22,0.00202,2.25,4.8733,3.889,0.005,0.021
3,38,0.00367,3.375,4.8616,3.8812,-0.004,0.036
4,38,0.00353,5.062,4.8085,3.8862,0.03,0.114
5,18,0.00381,7.594,4.6361,3.8866,0.131,0.304
6,22,0.00638,11.391,4.6039,3.8893,0.307,0.386
7,18,0.00124,11.391,4.4432,3.8748,0.431,0.492
8,27,0.00838,11.391,4.4852,3.877,0.366,0.426
9,18,0.01967,11.391,4.6314,3.8529,0.17,0.271
10,27,0.01014,11.391,4.6138,3.8699,0.156,0.276
11,29,0.01265,11.391,4.5941,3.8481,0.133,0.279
12,37,0.01695,11.391,4.4982,3.8617,0.184,0.383
13,49,0.02136,11.391,4.4423,3.8688,0.238,0.384
14,13,0.02778,11.391,4.4539,3.8206,0.177,0.379
15,14,0.02647,11.391,4.4253,3.8418,0.214,0.383
16,29,0.03855,11.391,4.3483,3.7979,0.267,0.451
17,20,0.04257,7.594,4.2581,3.7992,0.319,0.518
18,19,0.01959,7.594,4.2623,3.7905,0.344,0.513
19,27,0.02421,7.594,4.2342,3.7848,0.323,0.539
20,36,0.02765,7.594,4.2554,3.7559,0.262,0.481
21,18,0.03015,7.594,4.2438,3.7412,0.263,0.505
22,27,0.04368,5.062,4.2933,3.7672,0.217,0.474
23,34,0.03037,5.062,4.2328,3.7286,0.332,0.5
24,15,0.02685,5.062,4.2133,3.6995,0.315,0.484
25,19,0.0176,5.062,4.2079,3.7167,0.294,0.477
26,26,0.01754,5.062,4.2335,3.6919,0.251,0.447
27,25,0.02557,5.062,4.179,3.6458,0.295,0.493
28,17,0.03336,5.062,4.1442,3.6687,0.303,0.512
29,26,0.02839,5.062,4.1731,3.7048,0.346,0.505
30,32,0.03229,5.062,4.1742,3.6089,0.28,0.488
31,18,0.05261,3.375,4.0893,3.6515,0.367,0.552
32,23,0.02625,3.375,4.1146,3.6247,0.373,0.52
33,18,0.02628,3.375,4.0973,3.6189,0.373,0.534
34,20,0.02286,3.375,4.0289,3.5887,0.443,0.576
35,17,0.02784,3.375,4.1035,3.628,0.359,0.523
36,28,0.02078,3.375,4.1163,3.6322,0.323,0.493
37,35,0.01933,3.375,4.1254,3.5676,0.316,0.485
38,34,0.01818,3.375,4.0409,3.598,0.388,0.534
